datetime,National Hourly Demand,Northen Region Hourly Demand,Western Region Hourly Demand,Eastern Region Hourly Demand,Southern Region Hourly Demand,North-Eastern Region Hourly Demand,temperature,humidity,wind_speed,precipitation,Year,Month,Day,Hour,DayOfWeek,Weekend,Lag_1,Lag_24,Lag_168,Rolling_Mean_24,Rolling_STD_24,Peak,Festival_Name,Festival,Holiday,Holiday_Name,Lag_2,Lag_3,Lag_6,Lag_12,Lag_48,Lag_72,Rolling_Max_24,Rolling_Min_24,Rolling_Mean_168,lockdown,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,temp_x_hour,temp_x_month,temp_squared,time_idx
2020-07-07 13:00:00,151686.64,56504.59,38155.65,17074.44,37841.32,2110.64,29.85882352941176,71.23529411764706,16.3,0.5705882352941176,2020,7,7,13,1,0,153497.66,148513.17,159525.0,146614.755,5617.5707760025125,0,0,0,0,None,153228.53,152817.98,143727.67,143415.87,135138.42,157227.96,153497.66,137422.65,152039.64363095237,0,-0.2588190451025208,-0.9659258262890683,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,388.1647058823529,209.01176470588234,891.5493425605534,12950.0
2020-07-07 14:00:00,152200.86,56211.96,38470.24,17462.38,37893.85,2162.44,29.711764705882352,72.23529411764706,16.735294117647058,0.5235294117647059,2020,7,7,14,1,0,151686.64,149686.33,161850.39,146719.52708333332,5700.190219106136,0,0,0,0,None,153497.66,153228.53,147388.54,140143.61,137052.43,158972.45,153497.66,137422.65,151982.20595238096,0,-0.4999999999999997,-0.8660254037844388,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,415.9647058823529,207.98235294117646,882.7889619377162,12951.0
2020-07-07 15:00:00,150381.3,54534.3,38040.71,17523.27,38119.47,2163.55,29.564705882352943,72.6470588235294,17.558823529411764,0.5411764705882353,2020,7,7,15,1,0,152200.86,148831.23,162099.55,146784.1133333333,5733.839501091163,0,0,0,0,None,151686.64,153497.66,151232.77,137658.17,137286.64,159251.49,153497.66,137422.65,151912.45446428572,0,-0.7071067811865471,-0.7071067811865479,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,443.47058823529414,206.9529411764706,874.0718339100347,12952.0
2020-07-07 16:00:00,147420.16,52412.16,37534.37,17276.74,38013.83,2183.06,29.029411764705884,74.11764705882354,16.58823529411765,0.4117647058823529,2020,7,7,16,1,0,150381.3,146209.57,159516.09,146834.55458333337,5733.890273611395,0,0,0,0,None,152200.86,151686.64,152817.98,137422.65,136078.6,155392.17,153497.66,137422.65,151840.4548809524,0,-0.8660254037844385,-0.5000000000000004,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,464.47058823529414,203.2058823529412,842.7067474048444,12953.0
2020-07-07 17:00:00,142647.09,50495.79,37460.68,17076.63,35478.53,2135.46,28.076470588235296,78.41176470588235,14.905882352941177,0.2235294117647058,2020,7,7,17,1,0,147420.16,140735.4,152948.71,146914.20833333334,5658.258090128846,0,0,0,0,None,150381.3,152200.86,153228.53,138224.1,132851.18,150619.72,153497.66,137422.65,151779.13571428572,0,-0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,477.3,196.53529411764708,788.2882006920416,12954.0
2020-07-07 18:00:00,140960.75,48781.69,37191.42,18034.53,34457.39,2495.71,27.358823529411765,81.29411764705883,13.33529411764706,0.1823529411764705,2020,7,7,18,1,0,142647.09,140685.43,151302.94,146925.68,5645.345040309428,0,0,0,0,None,147420.16,150381.3,153497.66,139927.52,133876.49,150361.92,153497.66,137422.65,151717.5750595238,0,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,492.4588235294118,191.51176470588234,748.5052249134949,12955.0
2020-07-07 19:00:00,149618.13,51531.84,38354.41,20195.38,36813.78,2722.72,26.87058823529412,84.11764705882354,13.188235294117646,0.1411764705882353,2020,7,7,19,1,0,140960.75,149515.09,159677.06,146929.97333333333,5647.438722360158,0,0,0,0,None,142647.09,147420.16,151686.64,143727.67,143167.19,157968.04,153497.66,137422.65,151657.70047619048,0,-0.9659258262890684,0.2588190451025203,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,510.5411764705883,188.09411764705885,722.0285121107269,12956.0
2020-07-07 20:00:00,153730.54,55482.72,38551.86,20638.55,36368.6,2688.8,26.405882352941177,87.05882352941177,12.623529411764704,0.2058823529411764,2020,7,7,20,1,0,149618.13,152385.68,163042.84,146986.00916666666,5710.248552531978,0,0,0,0,None,140960.75,142647.09,152200.86,147388.54,147250.38,158571.53,153730.54,137422.65,151602.2701190476,0,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,528.1176470588235,184.84117647058824,697.2706228373703,12957.0
2020-07-07 21:00:00,153599.42,56477.72,38005.54,20774.22,35758.61,2583.34,26.11764705882353,88.52941176470588,11.43529411764706,0.1529411764705882,2020,7,7,21,1,0,153730.54,153160.12,163480.69,147004.31333333332,5731.564409996944,0,0,0,0,None,149618.13,140960.75,150381.3,151232.77,147597.52,156851.59,153730.54,137422.65,151543.45303571428,0,-0.7071067811865477,0.7071067811865474,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,548.4705882352941,182.8235294117647,682.1314878892733,12958.0
2020-07-07 22:00:00,153377.29,56879.52,38285.24,20846.35,34984.86,2381.33,25.88823529411765,89.17647058823529,11.276470588235291,0.2529411764705883,2020,7,7,22,1,0,153599.42,152390.66,163345.4,147045.42291666666,5775.2494570962,0,0,0,0,None,153730.54,149618.13,147420.16,152817.98,148147.84,155114.41,153730.54,137422.65,151484.11904761905,0,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,569.5411764705883,181.21764705882356,670.2007266435987,12959.0
2020-07-07 23:00:00,151352.64,56695.05,38191.74,20650.84,33504.64,2310.37,25.65882352941176,90.17647058823528,11.382352941176473,0.3058823529411765,2020,7,7,23,1,0,153377.29,148960.96,161656.98,147145.07625,5830.11351410835,0,0,0,0,None,153599.42,153730.54,142647.09,153228.53,145555.58,151007.79,153730.54,137422.65,151422.78369047618,0,-0.25881904510252157,0.9659258262890681,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,590.1529411764704,179.6117647058823,658.3752249134945,12960.0
2020-07-08 00:00:00,147708.22,55270.49,37010.05,20153.13,33045.69,2228.86,25.46470588235294,91.11764705882354,10.629411764705882,0.1294117647058823,2020,7,8,0,2,0,151352.64,145821.94,158457.85,147223.67125,5824.212324726645,0,0,0,0,None,153377.29,153599.42,140960.75,153497.66,141620.55,145998.2,153730.54,137422.65,151358.79779761905,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.0,178.25294117647059,648.4512456747404,12961.0
2020-07-08 01:00:00,144802.64,53854.92,36288.52,20017.5,32467.35,2174.36,25.288235294117644,91.47058823529412,11.5,0.1470588235294117,2020,7,8,1,2,0,147708.22,143415.87,155388.68,147281.45333333334,5791.580257335806,0,0,0,0,None,151352.64,153377.29,149618.13,151686.64,138522.55,141140.37,153730.54,137422.65,151295.7856547619,0,0.25881904510252074,0.9659258262890683,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,25.288235294117644,177.0176470588235,639.4948442906573,12962.0
2020-07-08 02:00:00,141447.69,52115.07,35879.8,19483.22,31839.13,2130.47,25.15294117647059,92.23529411764706,11.470588235294118,0.2058823529411764,2020,7,8,2,2,0,144802.64,140143.61,151863.68,147335.79,5727.463855588203,0,0,0,0,None,147708.22,151352.64,153730.54,152200.86,135583.0,135594.69,153730.54,137422.65,151233.7857142857,0,0.49999999999999994,0.8660254037844387,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,50.30588235294118,176.07058823529414,632.6704498269897,12963.0
2020-07-08 03:00:00,138952.11,50609.05,35420.53,19130.58,31709.35,2082.6,25.03529411764706,93.23529411764706,11.31764705882353,0.3117647058823529,2020,7,8,3,2,0,141447.69,137658.17,150200.02,147389.70416666666,5637.793165128807,0,0,0,0,None,144802.64,147708.22,153599.42,150381.3,133171.63,130267.56,153730.54,137422.65,151166.8338690476,0,0.7071067811865476,0.7071067811865476,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,75.10588235294118,175.24705882352941,626.7659515570934,12964.0
2020-07-08 04:00:00,138349.87,49988.03,35290.91,19028.84,32013.63,2028.46,24.97647058823529,93.52941176470588,10.976470588235294,0.0823529411764706,2020,7,8,4,2,0,138952.11,137422.65,149563.96,147428.33833333335,5569.282919267131,0,0,0,0,None,141447.69,144802.64,153377.29,147420.16,132742.76,126240.03,153730.54,138224.1,151100.08333333334,0,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,99.90588235294116,174.83529411764704,623.8240830449826,12965.0
2020-07-08 05:00:00,138043.04,49242.29,36076.06,18271.7,32497.09,1955.89,25.18235294117647,93.58823529411764,9.947058823529412,0.1176470588235294,2020,7,8,5,2,0,138349.87,138224.1,149316.86,147420.79416666666,5582.400282266712,0,0,0,0,None,138952.11,141447.69,151352.64,142647.09,132305.36,125011.92,153730.54,138043.04,151032.97726190477,0,0.9659258262890683,0.25881904510252074,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,125.91176470588236,176.2764705882353,634.1508996539793,12966.0
2020-07-08 06:00:00,138048.54,46222.17,37704.8,17968.8,34270.02,1882.75,25.58823529411765,91.76470588235294,11.335294117647058,0.4588235294117647,2020,7,8,6,2,0,138043.04,139927.52,148976.21,147342.50333333333,5703.912922688621,0,0,0,0,None,138349.87,138952.11,147708.22,140960.75,133678.55,126214.43,153730.54,138043.04,150967.93160714285,0,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,153.52941176470588,179.11764705882354,654.7577854671281,12967.0
2020-07-08 07:00:00,141350.41,45847.38,38601.12,18092.21,36903.29,1906.4,26.27647058823529,88.47058823529412,11.86470588235294,0.388235294117647,2020,7,8,7,2,0,138048.54,143727.67,151428.09,147243.45083333334,5789.416916733838,0,0,0,0,None,138043.04,138349.87,144802.64,149618.13,137964.4,128949.06,153730.54,138043.04,150907.94541666663,0,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,183.93529411764703,183.93529411764703,690.4529065743943,12968.0
2020-07-08 08:00:00,145803.32,47299.35,39411.52,18258.87,38880.72,1952.86,27.08823529411765,84.3529411764706,12.052941176470588,0.4235294117647059,2020,7,8,8,2,0,141350.41,147388.54,154991.74,147177.4,5796.72782611536,0,0,0,0,None,138048.54,138043.04,141447.69,153730.54,142132.2,130159.73,153730.54,138043.04,150853.25244047618,0,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,216.7058823529412,189.61764705882354,733.772491349481,12969.0
2020-07-08 09:00:00,151044.61,50648.58,40073.95,18408.72,39914.9,1998.45,27.935294117647057,80.70588235294117,12.617647058823527,0.3823529411764705,2020,7,8,9,2,0,145803.32,151232.77,159732.92,147169.56,5791.12905731194,0,0,0,0,None,141350.41,138048.54,138952.11,153599.42,146813.61,131528.46,153730.54,138043.04,150801.5363095238,0,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,251.41764705882352,195.5470588235294,780.3806574394463,12970.0
2020-07-08 10:00:00,153166.73,52488.66,40313.65,18579.76,39805.87,1978.79,28.829411764705885,77.05882352941177,12.0,0.4117647058823529,2020,7,8,10,2,0,151044.61,152817.98,160570.26,147184.09125,5806.336022653803,0,0,0,0,None,145803.32,141350.41,138349.87,153377.29,149095.74,132912.52,153730.54,138043.04,150757.46767857144,0,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,288.29411764705884,201.80588235294118,831.1349826989621,12971.0
2020-07-08 11:00:00,153493.24,53109.59,40266.77,18511.76,39592.22,2012.91,29.058823529411764,76.76470588235294,12.288235294117648,1.3941176470588237,2020,7,8,11,2,0,153166.73,153228.53,161745.53,147195.12083333332,5818.555672753247,0,0,0,0,None,151044.61,145803.32,138043.04,151352.64,150323.84,133922.64,153730.54,138043.04,150708.3469047619,0,0.258819045102521,-0.9659258262890682,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,319.6470588235294,203.41176470588235,844.4152249134949,12972.0
2020-07-08 12:00:00,153401.52,53665.06,39646.19,18544.95,39486.37,2058.95,29.27058823529412,76.70588235294117,12.882352941176473,1.1176470588235294,2020,7,8,12,2,0,153493.24,153497.66,163526.01,147191.115,5814.059340109309,0,0,0,0,None,153166.73,151044.61,138048.54,147708.22,148581.66,134134.43,153730.54,138043.04,150648.08208333334,0,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,351.2470588235294,204.89411764705883,856.7673356401385,12973.0
2020-07-08 13:00:00,151934.61,53101.18,39215.01,18587.3,38956.76,2074.36,29.329411764705885,76.52941176470588,13.041176470588235,1.076470588235294,2020,7,8,13,2,0,153401.52,151686.64,164256.54,147201.44708333336,5822.609664357814,0,0,0,0,None,153493.24,153166.73,141350.41,144802.64,148513.17,135138.42,153730.54,138043.04,150574.73726190475,0,-0.2588190451025208,-0.9659258262890683,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,381.2823529411765,205.30588235294118,860.214394463668,12974.0
2020-07-08 14:00:00,153808.81,53889.39,39867.99,18554.39,39376.07,2120.98,29.3,76.70588235294117,13.06470588235294,0.8764705882352941,2020,7,8,14,2,0,151934.61,152200.86,165872.46,147268.44499999998,5891.480222509185,0,0,0,0,None,153401.52,153493.24,145803.32,141447.69,149686.33,137052.43,153808.81,138043.04,150502.92982142858,0,-0.4999999999999997,-0.8660254037844388,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,410.2,205.1,858.49,12975.0
2020-07-08 15:00:00,153681.39,53526.14,39776.36,18697.9,39460.52,2220.47,28.88235294117647,77.41176470588235,13.852941176470589,1.1058823529411763,2020,7,8,15,2,0,153808.81,150381.3,164807.99,147405.94875,6004.7141786688735,0,0,0,0,None,151934.61,153401.52,151044.61,138952.11,148831.23,137286.64,153808.81,138043.04,150436.7000595238,0,-0.7071067811865471,-0.7071067811865479,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,433.2352941176471,202.1764705882353,834.1903114186852,12976.0
2020-07-08 16:00:00,151124.75,52753.12,39296.89,18171.17,38683.82,2219.75,28.49411764705882,79.17647058823529,12.529411764705882,0.5411764705882353,2020,7,8,16,2,0,153681.39,147420.16,161964.36,147560.30666666667,6052.520396444066,0,0,0,0,None,153808.81,151934.61,153166.73,138349.87,146209.57,136078.6,153808.81,138043.04,150372.17857142858,0,-0.8660254037844385,-0.5000000000000004,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,455.90588235294115,199.45882352941175,811.914740484429,12977.0
2020-07-08 17:00:00,145742.61,51348.65,38661.13,17848.71,35671.33,2212.8,28.141176470588235,81.23529411764706,11.058823529411764,0.2058823529411764,2020,7,8,17,2,0,151124.75,142647.09,155673.31,147689.28666666665,5975.763132726239,0,0,0,0,None,153681.39,153808.81,153493.24,138043.04,140735.4,132851.18,153808.81,138043.04,150313.06726190477,0,-0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,478.4,196.98823529411766,791.9258131487888,12978.0
2020-07-08 18:00:00,143680.99,50910.86,37994.03,18034.41,34251.08,2490.61,27.48235294117647,84.41176470588235,10.929411764705884,0.2352941176470588,2020,7,8,18,2,0,145742.61,140960.75,152443.29,147802.63,5867.4083266532125,0,0,0,0,None,151124.75,153681.39,153401.52,138048.54,140685.43,133876.49,153808.81,138043.04,150260.9107142857,0,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,494.6823529411764,192.3764705882353,755.279723183391,12979.0
2020-07-08 19:00:00,149929.45,53155.49,39314.27,18728.85,36064.48,2666.36,26.86470588235294,87.52941176470588,9.923529411764704,0.2117647058823529,2020,7,8,19,2,0,143680.99,149618.13,159754.19,147815.60166666668,5871.938927133833,0,0,0,0,None,145742.61,151124.75,151934.61,141350.41,149515.09,143167.19,153808.81,138043.04,150202.43011904764,0,-0.9659258262890684,0.2588190451025203,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,510.42941176470583,188.05294117647057,721.7124221453287,12980.0
2020-07-08 20:00:00,155180.03,56726.61,39219.39,20940.79,35615.68,2677.56,26.51176470588236,89.47058823529412,8.958823529411765,0.0529411764705882,2020,7,8,20,2,0,149929.45,153730.54,164530.57,147875.99708333335,5942.452656462753,0,0,0,0,None,143680.99,145742.61,153808.81,145803.32,152385.68,147250.38,155180.03,138043.04,150146.77214285714,0,-0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,530.2352941176472,185.5823529411765,702.8736678200696,12981.0
2020-07-08 21:00:00,155573.64,58133.75,38475.01,20908.53,35445.02,2611.34,26.27058823529412,90.52941176470588,9.658823529411766,0.1235294117647058,2020,7,8,21,2,0,155180.03,153599.42,165367.57,147958.25625,6038.020266921647,0,0,0,0,None,149929.45,143680.99,153681.39,151044.61,153160.12,147597.52,155573.64,138043.04,150088.47494047618,0,-0.7071067811865477,0.7071067811865474,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,551.6823529411765,183.89411764705883,690.1438062283738,12982.0
2020-07-08 22:00:00,154689.85,58356.18,38693.74,20773.9,34409.29,2456.75,26.064705882352943,90.88235294117646,10.13529411764706,0.2941176470588235,2020,7,8,22,2,0,155573.64,153377.29,165783.38,148012.94625,6094.914076618753,0,0,0,0,None,155180.03,149929.45,151124.75,153166.73,152390.66,148147.84,155573.64,138043.04,150022.44202380953,0,-0.5000000000000004,0.8660254037844384,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,573.4235294117648,182.4529411764706,679.368892733564,12983.0
2020-07-08 23:00:00,152241.04,57634.66,38613.56,20759.1,32857.93,2375.79,25.96470588235294,90.41176470588236,10.117647058823527,0.3823529411764705,2020,7,8,23,2,0,154689.85,151352.64,163589.05,148049.96291666667,6118.730408379136,0,0,0,0,None,155573.64,155180.03,145742.61,153493.24,148960.96,145555.58,155573.64,138043.04,149954.8943452381,0,-0.25881904510252157,0.9659258262890681,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,597.1882352941177,181.75294117647059,674.1659515570934,12984.0
2020-07-09 00:00:00,148776.65,56425.0,37632.39,20267.07,32165.58,2286.61,25.80588235294117,90.47058823529412,10.841176470588236,0.2411764705882353,2020,7,9,0,3,0,152241.04,147708.22,161173.82,148094.4808333333,6120.022532133967,0,0,0,0,None,154689.85,155573.64,143680.99,153401.52,145821.94,141620.55,155573.64,138043.04,149881.10166666668,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.0,180.64117647058816,665.9435640138404,12985.0
2020-07-09 01:00:00,145123.55,54746.51,37235.5,19658.22,31266.71,2216.61,25.53529411764706,91.05882352941175,11.547058823529412,0.3176470588235294,2020,7,9,1,3,0,148776.65,144802.64,157965.26,148107.85208333333,6112.864077303965,0,0,0,0,None,152241.04,154689.85,149929.45,151934.61,143415.87,138522.55,155573.64,138043.04,149804.66291666665,0,0.25881904510252074,0.9659258262890683,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,25.53529411764706,178.74705882352941,652.0512456747405,12986.0
2020-07-09 02:00:00,141338.07,52950.34,36550.78,19084.02,30611.07,2141.87,25.34117647058824,91.94117647058825,11.129411764705882,0.611764705882353,2020,7,9,2,3,0,145123.55,141447.69,154986.17,148103.28458333333,6118.095597505047,0,0,0,0,None,148776.65,152241.04,155180.03,153808.81,140143.61,135583.0,155573.64,138043.04,149723.4242261905,0,0.49999999999999994,0.8660254037844387,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,50.68235294117648,177.3882352941177,642.1752249134951,12987.0
2020-07-09 03:00:00,138932.74,51682.89,36241.39,18782.61,30129.08,2096.77,25.141176470588235,92.52941176470588,10.570588235294116,0.1647058823529412,2020,7,9,3,3,0,141338.07,138952.11,152326.9,148102.4775,6119.356431392959,0,0,0,0,None,145123.55,148776.65,155573.64,153681.39,137658.17,133171.63,155573.64,138043.04,149643.69708333333,0,0.7071067811865476,0.7071067811865476,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,75.4235294117647,175.98823529411766,632.0787543252595,12988.0
2020-07-09 04:00:00,138364.55,51258.18,36314.18,18414.36,30351.8,2026.02,24.94117647058824,93.17647058823528,10.58235294117647,0.3294117647058824,2020,7,9,4,3,0,138932.74,138349.87,151578.2,148103.08916666664,6118.339864555588,0,0,0,0,None,141338.07,145123.55,154689.85,151124.75,137422.65,132742.76,155573.64,138043.04,149565.0444047619,0,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,99.76470588235296,174.58823529411768,622.0622837370244,12989.0
2020-07-09 05:00:00,138820.45,50326.05,37411.68,17781.83,31306.05,1994.84,25.24705882352941,93.17647058823528,10.0,0.3647058823529411,2020,7,9,5,3,0,138364.55,138043.04,151744.66,148135.48124999998,6064.585439762462,0,0,0,0,None,138932.74,141338.07,152241.04,145742.61,138224.1,132305.36,155573.64,138048.54,149488.11458333334,0,0.9659258262890683,0.25881904510252074,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,126.23529411764706,176.72941176470587,637.4139792387543,12990.0
2020-07-09 06:00:00,139225.95,47748.11,38666.98,17412.2,33368.61,2030.05,25.670588235294115,91.94117647058825,10.758823529411766,0.2176470588235294,2020,7,9,6,3,0,138820.45,138048.54,151248.42,148184.54,5983.662982557462,0,0,0,0,None,138364.55,138932.74,148776.65,143680.99,139927.52,133678.55,155573.64,138364.55,149416.55226190476,0,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,154.02352941176468,179.69411764705882,658.9791003460207,12991.0
2020-07-09 07:00:00,142759.91,48500.8,39561.69,17207.59,35448.38,2041.44,26.329411764705885,88.47058823529412,11.823529411764708,0.2529411764705882,2020,7,9,7,3,0,139225.95,141350.41,154388.26,148243.2691666667,5920.25124636741,0,0,0,0,None,138820.45,138364.55,145123.55,149929.45,143727.67,137964.4,155573.64,138364.55,149347.33589285714,0,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,184.30588235294118,184.30588235294118,693.2379238754327,12992.0
2020-07-09 08:00:00,147207.38,50439.83,40181.94,17440.2,37048.22,2097.2,27.16470588235294,84.6470588235294,12.25294117647059,0.2058823529411764,2020,7,9,8,3,0,142759.91,145803.32,157641.84,148301.77166666664,5902.0011133741245,0,0,0,0,None,139225.95,138820.45,141338.07,155180.03,147388.54,142132.2,155573.64,138364.55,149285.22601190474,0,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,217.31764705882352,190.1529411764706,737.9212456747405,12993.0
2020-07-09 09:00:00,151193.43,52865.89,40795.62,17504.37,37942.3,2085.25,27.96470588235294,81.47058823529412,12.594117647058823,0.1999999999999999,2020,7,9,9,3,0,147207.38,151044.61,161007.15,148307.9725,5905.085491624675,0,0,0,0,None,142759.91,139225.95,138932.74,155573.64,151232.77,146813.61,155573.64,138364.55,149226.81101190476,0,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,251.68235294117648,195.75294117647059,782.0247750865052,12994.0
2020-07-09 10:00:00,152964.27,54157.95,41054.06,17768.21,37928.4,2055.65,28.48235294117647,79.0,12.594117647058823,1.0823529411764703,2020,7,9,10,3,0,151193.43,153166.73,162433.89,148299.53666666665,5897.982968793123,0,0,0,0,None,147207.38,142759.91,138364.55,154689.85,152817.98,149095.74,155573.64,138364.55,149170.44422619048,0,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,284.8235294117647,199.3764705882353,811.2444290657438,12995.0
2020-07-09 11:00:00,154053.6,55132.57,41365.16,17893.03,37721.65,1941.19,28.99411764705882,77.3529411764706,12.858823529411763,0.4647058823529411,2020,7,9,11,3,0,152964.27,153493.24,163101.12,148322.885,5920.5033509618615,0,0,0,0,None,151193.43,147207.38,138820.45,152241.04,153228.53,150323.84,155573.64,138364.55,149116.58994047617,0,0.258819045102521,-0.9659258262890682,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,318.93529411764706,202.95882352941175,840.6588581314878,12996.0
2020-07-09 12:00:00,154107.99,56010.32,40736.07,17664.45,37757.46,1939.69,29.08235294117647,78.11764705882354,13.382352941176473,0.7705882352941176,2020,7,9,12,3,0,154053.6,153401.52,165168.04,148352.32125,5948.541614954804,0,0,0,0,None,152964.27,151193.43,139225.95,148776.65,153497.66,148581.66,155573.64,138364.55,149050.7563095238,0,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,348.98823529411766,203.57647058823528,845.7832525951557,12997.0
2020-07-09 13:00:00,152441.12,55954.39,40241.99,17373.59,36956.7,1914.44,29.094117647058823,76.88235294117646,13.8,0.8411764705882352,2020,7,9,13,3,0,154107.99,151934.61,164872.07,148373.4258333333,5962.685351338926,0,0,0,0,None,154053.6,152964.27,142759.91,145123.55,151686.64,148513.17,155573.64,138364.55,148976.7625595238,0,-0.2588190451025208,-0.9659258262890683,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,378.22352941176473,203.65882352941176,846.4676816608996,12998.0
2020-07-09 14:00:00,154115.06,57649.83,40443.56,17357.89,36721.46,1942.32,29.08823529411765,76.82352941176471,14.041176470588235,1.0,2020,7,9,14,3,0,152441.12,153808.81,166437.46,148386.18625,5975.137749060256,0,0,0,0,None,154107.99,154053.6,147207.38,141338.07,152200.86,149686.33,155573.64,138364.55,148903.41494047618,0,-0.4999999999999997,-0.8660254037844388,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,407.2352941176471,203.61764705882354,846.1254325259516,12999.0
2020-07-09 15:00:00,155021.91,58115.51,40275.5,17543.84,37114.49,1972.57,28.78235294117647,78.23529411764706,13.3,0.9823529411764704,2020,7,9,15,3,0,154115.06,153681.39,166906.22,148442.04125,6032.776446226483,0,0,0,0,None,152441.12,154107.99,151193.43,138932.74,150381.3,148831.23,155573.64,138364.55,148832.675,0,-0.7071067811865471,-0.7071067811865479,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,431.7352941176471,201.4764705882353,828.4238408304498,13000.0
